id	tweetString	tweetWordArray	taggedLanguages
144	@brissamayen @sanluispotoyees estopp I blashhh lol jk but aww:) thanks haha (x	@brissamayen @sanluispotoyees estopp I blashhh lol jk but aww :) thanks haha ( x 	other other lang1 lang1 lang1 lang1 lang1 lang1 other other lang1 lang1 other other 
145	@ibrandx_ yeah it was my sister's idea so we went w it:) I wanted Sunny!:) I had him for about 2.5 years:)	@ibrandx_ yeah it was my sister 's idea so we went w it :) I wanted Sunny ! :) I had him for about 2.5 years :) 	other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 other other lang1 lang1 lang1 lang1 lang1 other lang1 other 
146	@Mariska is so inspiring definitely could be almost everybody's #wcw @theviewtv	@Mariska is so inspiring definitely could be almost everybody 's #wcw @theviewtv 	other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
147	Ungrateful Ass!!! #SitDown #Unacceptable #Shame	Ungrateful Ass !!! #SitDown #Unacceptable #Shame 	lang1 lang1 other lang1 lang1 lang1 
148	Well I woke up early!.. lol	Well I woke up early !.. lol 	lang1 lang1 lang1 lang1 lang1 other lang1 
149	@elizaaaabethhh_ its hard when u don't like veggies and tea or eating w water lol and haha come live at my house that won't be 2 hard xD	@elizaaaabethhh_ its hard when u do n't like veggies and tea or eating w water lol and haha come live at my house that wo n't be 2 hard xD 	other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 other 
150	@elizaaaabethhh_ cause I wanna be skinny like when I met my gf	@elizaaaabethhh_ cause I wanna be skinny like when I met my gf 	other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
151	@elizaaaabethhh_ yes! Lol I've been wanting to go idk I pike working out at night :)	@elizaaaabethhh_ yes ! Lol I 've been wanting to go idk I pike working out at night :) 	other lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
152	Women's Breasts are similar to Guy's Balls lol one is bigger than the other hahaha	Women's Breasts are similar to Guy 's Balls lol one is bigger than the other hahaha 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
153	@elizaaaabethhh_ lets go work out lol	@elizaaaabethhh_ lets go work out lol 	other lang1 lang1 lang1 lang1 lang1 
154	@elizaaaabethhh_ yeah with your eyes closed and counting sheep lol jk	@elizaaaabethhh_ yeah with your eyes closed and counting sheep lol jk 	other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
155	@Yessy1584G lol	@Yessy1584G lol 	other lang1 
156	@Yessy1584G no... that's like saying "9 out of 10 girls are unfaithful the 10th one is too but u love her so much you don't wanna see it.."	@Yessy1584G no ... that 's like saying " 9 out of 10 girls are unfaithful the 10th one is too but u love her so much you do n't wanna see it .. " 	other lang1 other lang1 lang1 lang1 lang1 other other lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other other 
157	Wtf is #TheFamily it's all up on my TL o.O	Wtf is #TheFamily it 's all up on my TL o.O 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other other 
158	@elizaaaabethhh_ Yea I'm just like naw bitch! This why yo uglyass stay single! Ur standards 2 Up there! Buzzards wouldn't even want cho ass!	@elizaaaabethhh_ Yea I 'm just like naw bitch ! This why yo uglyass stay single ! Ur standards 2 Up there ! Buzzards would n't even want cho ass ! 	other lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 other lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
159	Why do ugly girls have the highests fucking standards!?! Like bitchhh!! Sit'chooo ChickenHeaded Ass Down! You don't get to choose!! #DumbHoe	Why do ugly girls have the highests fucking standards !?! Like bitchhh !! Sit 'chooo ChickenHeaded Ass Down ! You do n't get to choose !! #DumbHoe 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 other lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 other lang1 
160	Hoes be thirsty for follows!!! Lol #MyGenerationIsStupid #WhenWillItEnd #KillIt #KillItNow	Hoes be thirsty for follows !!! Lol #MyGenerationIsStupid #WhenWillItEnd #KillIt #KillItNow 	lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 
161	I can't wait till I'm 21! Not because I want to drink! Idc bout that!... I just want to be able to get my Gun holder's license #ItsATXThing	I can n't wait till I 'm 21 ! Not because I want to drink ! Idc bout that !... I just want to be able to get my Gun holder 's license #ItsATXThing 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 other other lang1 lang1 lang1 lang1 lang1 lang1 other other lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
162	Having a Truck is like being Married. Except when you wanna upgrade, they don't take half your shit! #VeryTrue #TruckLove	Having a Truck is like being Married . Except when you wanna upgrade , they do n't take half your shit ! #VeryTrue #TruckLove 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 
163	Stfu! You need a good dick-slap hoe!	Stfu ! You need a good dick-slap hoe ! 	lang1 other lang1 lang1 lang1 lang1 lang1 lang1 other 
164	@sanluispotoyees its still annoying lol bht you're fucking stunning ;)	@sanluispotoyees its still annoying lol bht you 're fucking stunning ;) 	other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
165	@elizaaaabethhh_ @CiinthiiaRm lol NOOO hahahaha	@elizaaaabethhh_ @CiinthiiaRm lol NOOO hahahaha 	other other lang1 lang1 lang1 
166	@sanluispotoyees ur one of them sometimes -.-	@sanluispotoyees ur one of them sometimes -.- 	other lang1 lang1 lang1 lang1 lang1 other 
167	@elizaaaabethhh_ @CiinthiiaRm when we have kids lol which is NOT ANYTIME SOON!!!! I hope lmao:)	@elizaaaabethhh_ @CiinthiiaRm when we have kids lol which is NOT ANYTIME SOON !!!! I hope lmao :) 	other other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 other 
168	@sanluispotoyees ewwww I look hideous I haven't shaved or had a fade in over a month lmap	@sanluispotoyees ewwww I look hideous I have n't shaved or had a fade in over a month lmap 	other other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
169	@EricaYolli lmao Weak Nigga hahaha	@EricaYolli lmao Weak Nigga hahaha 	other lang1 lang1 lang1 lang1 
170	@elizaaaabethhh_ sipiripiwepaaa lol	@elizaaaabethhh_ sipiripiwepaaa lol 	other other lang1 
171	@elizaaaabethhh_ lol WEAK!!!! Lol JK	@elizaaaabethhh_ lol WEAK !!!! Lol JK 	other lang1 lang1 other lang1 lang1 
172	@elizaaaabethhh_ me too lmao especially cause I'm a instigating ass nigga lmao	@elizaaaabethhh_ me too lmao especially cause I 'm a instigating ass nigga lmao 	other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
173	@elizaaaabethhh_ true I'm just like ewww fake ass mf!!!	@elizaaaabethhh_ true I 'm just like ewww fake ass mf !!! 	other lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 other 
174	@bonitah94 @Jona_Boy13 oiesaaa	@bonitah94 @Jona_Boy13 oiesaaa 	other other lang2 
175	@Jona_Boy13 @BullyingFutbol monterejajajajaja	@Jona_Boy13 @BullyingFutbol monterejajajajaja 	other other lang2 
176	@Jona_Boy13 perras desgraciadas	@Jona_Boy13 perras desgraciadas 	other lang2 lang2 
177	@Jona_Boy13 ora que hizo??	@Jona_Boy13 ora que hizo ?? 	other lang2 lang2 lang2 other 
178	los hombres somos exelentes cocineros...con 2 huevos, 1 salchicha, y un poco de leche llenamos la panza de una mujer por 9 meses jijiji	los hombres somos exelentes cocineros ... con 2 huevos , 1 salchicha , y un poco de leche llenamos la panza de una mujer por 9 meses jijiji 	lang2 lang2 lang2 lang2 lang2 other lang2 other lang2 other other lang2 other lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other lang2 lang2 
179	de chiquito me daban leche de bote ahora me la sacan del camote	de chiquito me daban leche de bote ahora me la sacan del camote 	lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 
180	@El_Ctoni @raiadikta8 si y te largas pa quedarme SOLA con ella	@El_Ctoni @raiadikta8 si y te largas pa quedarme SOLA con ella 	other other lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 
181	@El_Ctoni @raiadikta8 no traen nada cao me mato ay me dejas unas caguamas en mi caja	@El_Ctoni @raiadikta8 no traen nada cao me mato ay me dejas unas caguamas en mi caja 	other other lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 
182	Ay ta por no echarlas |:	Ay ta por no echarlas |: 	lang2 lang2 lang2 lang2 lang2 other 
183	Le hubiera dado otro enganche pa tras y.mocos ay ta el gol	Le hubiera dado otro enganche pa tras y . mocos ay ta el gol 	lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other lang2 lang2 lang2 lang2 lang2 
184	METENLAAA!!!	METENLAAA !!! 	lang2 other 
185	Vergas	Vergas 	lang2 
186	Aahh suu putaaa.madreee	Aahh suu putaaa . madreee 	other lang2 lang2 other lang2 
187	GOOOOOOOL!!!!!!	GOOOOOOOL !!!!!! 	lang2 other 
188	Puercooo!!!	Puercooo !!! 	lang2 other 
189	Dale Rebaño!! !!	Dale Rebaño !! !! 	lang2 lang2 other other 
190	@chivas_madrid95 orita cae el gol	@chivas_madrid95 orita cae el gol 	other lang2 lang2 lang2 lang2 
191	Me emocione :(	Me emocione :( 	lang2 lang2 other 
192	Ahh culoo!!	Ahh culoo !! 	lang2 lang2 other 
193	NI un tiro ah sido peligroso |:	NI un tiro ah sido peligroso |: 	lang2 lang2 lang2 lang2 lang2 lang2 other 
194	Esos tirios	Esos tirios 	lang2 lang2 
195	Ponga huevooo!	Ponga huevooo ! 	lang2 lang2 other 
196	Todavía falta pa ganar!	Todavía falta pa ganar ! 	lang2 lang2 lang2 lang2 other 
197	Esa defensa que pedo	Esa defensa que pedo 	lang2 lang2 lang2 lang2 
198	Vamos rebaño!	Vamos rebaño ! 	lang2 lang2 other 
199	Me tienen cocinando |:	Me tienen cocinando |: 	lang2 lang2 lang2 other 
200	@Jona_Boy13 soplandole a la vuvuzela el	@Jona_Boy13 soplandole a la vuvuzela el 	other lang2 lang2 lang2 lang2 lang2 
201	@Jona_Boy13 pobres :(	@Jona_Boy13 pobres :( 	other lang2 other 
202	Me amarraron como puercoo!!	Me amarraron como puercoo !! 	lang2 lang2 lang2 lang2 other 
203	2/2 El	2/2 El 	other lang2 
204	Putooo!!! @El_Ctoni	Putooo !!! @El_Ctoni 	lang2 other other 
205	Aver que hace la momia	Aver que hace la momia 	lang2 lang2 lang2 lang2 lang2 
206	Noo pos pa pasar al ponce ta cabron	Noo pos pa pasar al ponce ta cabron 	lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 
207	Buen primer tiempo pero falta el gol #VamosRebaño	Buen primer tiempo pero falta el gol #VamosReba ño 	lang2 lang2 lang2 lang2 lang2 lang2 lang2 other lang2 
208	Un espantoso 0-0	Un espantoso 0-0 	lang2 lang2 other 
209	Esoo defensa!!	Esoo defensa !! 	lang2 lang2 other 
210	No pasa nada	No pasa nada 	lang2 lang2 lang2 
211	Ah puercos	Ah puercos 	lang2 lang2 
212	@Jona_Boy13 AFICIONADOS PUMAS SALGAN DE SUS CUEVAS PARA QUE LOS AMERICANISTAS PASEN A OCUPARLAS.	@Jona_Boy13 AFICIONADOS PUMAS SALGAN DE SUS CUEVAS PARA QUE LOS AMERICANISTAS PASEN A OCUPARLAS . 	other lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other 
213	Como quedaron tus aguilias cagadas!?!? @Jona_Boy13	Como quedaron tus aguilias cagadas !?!? @Jona_Boy13 	lang2 lang2 lang2 lang2 lang2 other other 
214	@Jona_Boy13 ridiculos!	@Jona_Boy13 ridiculos ! 	other lang2 other 
215	Rayasela!	Rayasela ! 	lang2 other 
216	Puro pedoo	Puro pedoo 	lang2 lang2 
217	@spodermenpls @arelyyy_090812 ira este guey ha	@spodermenpls @arelyyy_090812 ira este guey ha 	other other lang2 lang2 lang2 lang2 
218	@Jona_Boy13 corbata	@Jona_Boy13 corbata 	other lang2 
219	Esoo hugo!!!	Esoo hugo !!! 	lang2 lang2 other 
220	Que susto!	Que susto ! 	lang2 lang2 other 
221	Ah no tenia el balon en las manos jiji	Ah no tenia el balon en las manos jiji 	lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 
222	Ehh taba fuera del area en ese despeje!	Ehh taba fuera del area en ese despeje ! 	other lang2 lang2 lang2 lang2 lang2 lang2 lang2 other 
223	Dale Rebaño!	Dale Rebaño ! 	lang2 lang2 other 
224	@AficionChiva ese tiro tuvo bueno :/	@AficionChiva ese tiro tuvo bueno :/ 	other lang2 lang2 lang2 lang2 other 
225	Ese pase de taconzito tuvo bueno	Ese pase de taconzito tuvo bueno 	lang2 lang2 lang2 lang2 lang2 lang2 
226	Vergas	Vergas 	lang2 
227	Esos errores |:	Esos errores |: 	lang2 lang2 other 
228	#VamosRebaño	#VamosReba ño 	lang2 other 
229	@Chachawa @excentricoser @arelyyy_090812 tu	@Chachawa @excentricoser @arelyyy_090812 tu 	other other other lang2 
230	Ya mero juegan las Chivas! :)	Ya mero juegan las Chivas ! :) 	lang2 lang2 lang2 lang2 lang2 other other 
231	@afootballreport @El_Ctoni dos tres	@afootballreport @El_Ctoni dos tres 	other other lang2 lang2 
232	@ValenzuelaFelip siiiiiiii!	@ValenzuelaFelip siiiiiiii ! 	other lang2 other 
233	Postee	Postee 	lang2 
234	Uu puerco	Uu puerco 	lang2 lang2 
235	@Jona_Boy13 @bonitah94 un pinche putazo por preguntona	@Jona_Boy13 @bonitah94 un pinche putazo por preguntona 	other other lang2 lang2 lang2 lang2 lang2 
236	Alaba?	Alaba ? 	lang2 other 
237	Que pinches nervios!	Que pinches nervios ! 	lang2 lang2 lang2 other 
238	@arelyyy_090812 pero no te pinche pases!	@arelyyy_090812 pero no te pinche pases ! 	other lang2 lang2 lang2 lang2 lang2 other 
239	@Jona_Boy13 asi es chikinalgas no te dejes de las puerkitas porque si no ay tan pa las carnitas jiji	@Jona_Boy13 asi es chikinalgas no te dejes de las puerkitas porque si no ay tan pa las carnitas jiji 	other lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 
240	Ya no vuelvo a tragar! D:	Ya no vuelvo a tragar ! D: 	lang2 lang2 lang2 lang2 lang2 other other 
241	Puercooooo	Puercooooo 	lang2 
242	@Jona_Boy13 tus **	@Jona_Boy13 tus ** 	other lang2 other 
243	@El_Ctoni FRESCAS!	@El_Ctoni FRESCAS ! 	other lang2 other 
244	@El_Ctoni ..... Despierta Guardado en un hospital, sin Piernas.	@El_Ctoni ..... Despierta Guardado en un hospital , sin Piernas . 	other other lang2 lang2 lang2 lang2 lang2 other lang2 lang2 other 
245	@El_Ctoni se quedan en semis	@El_Ctoni se quedan en semis 	other lang2 lang2 lang2 lang2 
246	Y los otros gueys no se han echo ni madres	Y los otros gueys no se han echo ni madres 	lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 
247	Puro cuerpoo!	Puro cuerpoo ! 	lang2 lang2 other 
248	@Jona_Boy13 vengo por el weewee	@Jona_Boy13 vengo por el weewee 	other lang2 lang2 lang2 other 
249	@Jona_Boy13 onde?	@Jona_Boy13 onde ? 	other lang2 other 
250	Todavia ando pedo	Todavia ando pedo 	lang2 lang2 lang2 
251	Esoo chingao!!!	Esoo chingao !!! 	lang2 lang2 other 
252	Y el pinche tamboraso	Y el pinche tamboraso 	lang2 lang2 lang2 lang2 
253	@hellachingona pongale agua mija!	@hellachingona pongale agua mija ! 	other lang2 lang2 lang2 other 
254	Ando panikiao	Ando panikiao 	lang2 lang2 
255	@fartonmyfaceplz haaha tas loca tu	@fartonmyfaceplz haaha tas loca tu 	other lang2 lang2 lang2 lang2 
256	Llevo como unas 30	Llevo como unas 30 	lang2 lang2 lang2 other 
257	Goool	Goool 	lang2 
258	Ahh la vergaa	Ahh la vergaa 	lang2 lang2 lang2 
259	Me mie	Me mie 	lang2 lang2 
260	Tiraaa	Tiraaa 	lang2 
261	Esoo chingao!!!!	Esoo chingao !!!! 	lang2 lang2 other 
262	GOOOOOL!!!	GOOOOOL !!! 	lang2 other 
263	GOOOOL!!!!!	GOOOOL !!!!! 	lang2 other 
264	TU PINCHE COLA GUEY!!	TU PINCHE COLA GUEY !! 	lang2 lang2 lang2 lang2 other 
265	@bgonzalez329 no te metas en mi vida	@bgonzalez329 no te metas en mi vida 	other lang2 lang2 lang2 lang2 lang2 lang2 
266	Goooool	Goooool 	lang2 
267	Lambido	Lambido 	lang2 
268	Ahh ese chamuco se va llebar la quinela!!!	Ahh ese chamuco se va llebar la quinela !!! 	other lang2 lang2 lang2 lang2 lang2 lang2 lang2 other 
269	Ahh pinche ref culoo	Ahh pinche ref culoo 	lang2 lang2 other lang2 
270	Conejo pal mundial!	Conejo pal mundial ! 	lang2 lang2 lang2 other 
271	@El_Ctoni andale ahi sii	@El_Ctoni andale ahi sii 	other lang2 lang2 lang2 
272	Se me antojo una michelada	Se me antojo una michelada 	lang2 lang2 lang2 lang2 lang2 
273	Puercoooo	Puercoooo 	lang2 
274	Puercooo	Puercooo 	lang2 
275	Que pinches nervios	Que pinches nervios 	lang2 lang2 lang2 
276	@arelyyy_090812 ultima vez que ignores mi tuit!!!!	@arelyyy_090812 ultima vez que ignores mi tuit !!!! 	other lang2 lang2 lang2 lang2 lang2 lang2 other 
277	@El_Ctoni @Jona_Boy13 al culpable de todas las maldades	@El_Ctoni @Jona_Boy13 al culpable de todas las maldades 	other other lang2 lang2 lang2 lang2 lang2 lang2 
278	@El_Ctoni @raiadikta8 TAAAS GUEY!!!	@El_Ctoni @raiadikta8 TAAAS GUEY !!! 	other other lang2 lang2 other 
279	@bgonzalez329 y sin cruda, kiuvoo como le haces	@bgonzalez329 y sin cruda , kiuvoo como le haces 	other lang2 lang2 lang2 other lang2 lang2 lang2 lang2 
280	Pinches gatos andan bien grifos	Pinches gatos andan bien grifos 	lang2 lang2 lang2 lang2 lang2 
281	Ni madres!	Ni madres ! 	lang2 lang2 other 
282	@JonathanMedin51 @Mini_Jimmy13 te lo tas chingando jiji	@JonathanMedin51 @Mini_Jimmy13 te lo tas chingando jiji 	other other lang2 lang2 lang2 lang2 lang2 
